,username,follower,username_raw
0,@sugabelly,False,sugabelly
1,@TooLost2Lose,False,TooLost2Lose
2,@nchibana,True,nchibana
3,@Cksiazak_dev,True,Cksiazak_dev
4,@gtbunt,True,gtbunt
5,@IsaacAderogba,True,IsaacAderogba
6,@Carter19Marques,True,Carter19Marques
7,@rotimi_ol,True,rotimi_ol
8,@beyond_brawn1,True,beyond_brawn1
9,@iamjustyy,True,iamjustyy
10,@AveretteSierra,True,AveretteSierra
11,@HighTailTom,False,HighTailTom
12,@thoughtspeed7,False,thoughtspeed7
13,@dcNsirim,False,dcNsirim
14,@ncheta_ewuzie,False,ncheta_ewuzie
15,@ashdigital_,False,ashdigital_
16,@MrADEBAY0,False,MrADEBAY0
17,@toshistack,False,toshistack
18,@frediflexta,True,frediflexta
19,@cnekesa_,False,cnekesa_
20,@NoellarKappa,False,NoellarKappa
21,@lajolaca,False,lajolaca
22,@GlobalHunch,False,GlobalHunch
23,@ProfessionalPen,False,ProfessionalPen
24,@pdrlaguna,False,pdrlaguna
25,@mosesfrancis52,False,mosesfrancis52
26,@_saucecode,False,_saucecode
27,@iam_bannorjr,False,iam_bannorjr
28,@TJMogbeyi,False,TJMogbeyi
29,@tundenasri,False,tundenasri
30,@IniobongUdom3,True,IniobongUdom3
31,@intewille,False,intewille
32,@theonlysaqib,True,theonlysaqib
33,@justmikeyates,True,justmikeyates
34,@PeterKolade_,False,PeterKolade_
35,@TheJoshMay,False,TheJoshMay
36,@jjaycodes,False,jjaycodes
37,@fraje_k,False,fraje_k
38,@Richard3d7,True,Richard3d7
39,@misspipkelly,False,misspipkelly
40,@jeremyyamaguchi,False,jeremyyamaguchi
41,@Bill_Anthony,True,Bill_Anthony
42,@octal,False,octal
43,@dreyzview,True,dreyzview
44,@frontendmr,False,frontendmr
45,@emekedaking,False,emekedaking
46,@nibrasibn,False,nibrasibn
47,@Ad3bay0,False,Ad3bay0
48,@MaximWheatley,True,MaximWheatley
49,@matt_chuks,True,matt_chuks
50,@parand,False,parand
51,@gabororosz,False,gabororosz
52,@hyper_debugger,True,hyper_debugger
53,@jojociru,False,jojociru
54,@QweycAmpong,False,QweycAmpong
55,@s_Hotzs,True,s_Hotzs
56,@1cleanteen,False,1cleanteen
57,@cjoordt,False,cjoordt
58,@CodesDesign,False,CodesDesign
59,@UBIpromoter,False,UBIpromoter
60,@obejosel,True,obejosel
61,@Riley_TheIntern,False,Riley_TheIntern
62,@dkimerling,False,dkimerling
63,@CrowdWiggel,False,CrowdWiggel
64,@Berlelund,False,Berlelund
65,@EricDebrah11,True,EricDebrah11
66,@DolapoAdelana,False,DolapoAdelana
67,@ptrlaszlo,False,ptrlaszlo
68,@monsieursebo,False,monsieursebo
69,@Futur1st,True,Futur1st
70,@ArahPaul,True,ArahPaul
71,@julesjacobs89,False,julesjacobs89
72,@divine_codez,False,divine_codez
73,@bravelyjake,True,bravelyjake
74,@cassiuscassidy,False,cassiuscassidy
75,@YGeezus,True,YGeezus
76,@adamevers,False,adamevers
77,@labifrancis,True,labifrancis
78,@Dawlypop,True,Dawlypop
79,@TheIgboBandit01,False,TheIgboBandit01
80,@ccokwara1,False,ccokwara1
81,@jonrichpen,False,jonrichpen
82,@NkenuTimothy,True,NkenuTimothy
83,@novalis78,True,novalis78
84,@afrocryptoman,False,afrocryptoman
85,@ray_founder,False,ray_founder
86,@MikaOlaussen,False,MikaOlaussen
87,@StayNimble,True,StayNimble
88,@vipulgupta2048,False,vipulgupta2048
89,@khriis_19,False,khriis_19
90,@_mjmeyer,True,_mjmeyer
91,@DanielSuppey,False,DanielSuppey
92,@far33d,False,far33d
93,@nieldlr,False,nieldlr
94,@lvdbijl,False,lvdbijl
95,@Neisan,False,Neisan
96,@wisdomaebong,False,wisdomaebong
97,@abidexdave,False,abidexdave
98,@arjundot,False,arjundot
99,@denizoktar,False,denizoktar
100,@sebkrier,True,sebkrier
101,@iambuksman,True,iambuksman
102,@devanshbhikajee,False,devanshbhikajee
103,@theKennyCodes,True,theKennyCodes
104,@f_klaz,False,f_klaz
105,@ATB22_,False,ATB22_
106,@kmajemite,True,kmajemite
107,@BalchenJon,True,BalchenJon
108,@Emmyzaz,True,Emmyzaz
109,@fessburn,False,fessburn
110,@arushidotcom,False,arushidotcom
111,@jasjeet_bajwa,True,jasjeet_bajwa
112,@dawuzi,False,dawuzi
113,@TimBeiko,False,TimBeiko
114,@ibn_ashimi,True,ibn_ashimi
115,@Akindele__,False,Akindele__
116,@_TamaraWinter,True,_TamaraWinter
117,@Vijaypine,False,Vijaypine
118,@TrWi01,False,TrWi01
119,@egahi_so,True,egahi_so
120,@philipzy1,False,philipzy1
121,@malgamves,True,malgamves
122,@santgv,False,santgv
123,@olubunmi4ever,True,olubunmi4ever
124,@MuhNeesh,True,MuhNeesh
125,@G_Langenderfer,True,G_Langenderfer
126,@eze_emery,False,eze_emery
127,@NwaOnyenkuzi,False,NwaOnyenkuzi
128,@iamtjah,True,iamtjah
129,@bolof2000,True,bolof2000
130,@nkuriakos,False,nkuriakos
131,@danielcrosby,False,danielcrosby
132,@Ifunany72059166,False,Ifunany72059166
133,@JackWiIli,True,JackWiIli
134,@stefanindic,False,stefanindic
135,@emanuil_tolev,True,emanuil_tolev
136,@AdamLeeBG,False,AdamLeeBG
137,@jenmint,False,jenmint
138,@fgtzgallardo,False,fgtzgallardo
139,@authurLauren,True,authurLauren
140,@sureboi001,False,sureboi001
141,@_nerdeveloper,False,_nerdeveloper
